Entidad_federativa,Municipio,Tipo_de_Fuente,SO_2,CO,NOx,COV,PM_010,PM_2_5,NH_3,Entidad
Nuevo León,Cerralvo,Fuentes de área,0.166,28.206,2.604,98.575,78.89,17.531,807.885,Nuevo León
Nuevo León,Cerralvo,Fuentes móviles carreteros,0.251,331.266,148.263,35.204,4.931,4.517,0.683,Nuevo León
Nuevo León,Cerralvo,Fuentes móviles que no circulan por carretera,1.455,19.327,41.465,4.031,3.328,3.228,0.013,Nuevo León
Nuevo León,Cerralvo,Fuentes naturales,,,147.939,554.183,,,,Nuevo León
Nuevo León,Ciénega de Flores,Fuentes fijas,96.643,204.94,588.039,1066.017,104.962,77.833,7.328999999999998,Nuevo León
Nuevo León,Ciénega de Flores,Fuentes de área,0.138,34.913,7.753,444.163,11.776,7.106,69.134,Nuevo León
Nuevo León,Ciénega de Flores,Fuentes móviles carreteros,0.883,935.295,608.409,109.276,23.013,21.123,2.407,Nuevo León
Nuevo León,Ciénega de Flores,Fuentes móviles que no circulan por carretera,0.007,0.063,0.196,0.015,0.012,0.012,0.0,Nuevo León
Nuevo León,Ciénega de Flores,Fuentes naturales,,,127.46,422.716,,,,Nuevo León
Nuevo León,China,Fuentes de área,0.18,33.625,3.319,159.305,346.948,60.934,142.046,Nuevo León
Nuevo León,China,Fuentes móviles carreteros,0.311,475.354,155.202,47.949,4.203,3.839,0.8669999999999999,Nuevo León
Nuevo León,China,Fuentes móviles que no circulan por carretera,1.712,15.751,48.933,3.77,2.991,2.902,0.016,Nuevo León
Nuevo León,China,Fuentes naturales,,,137.233,362.845,,,,Nuevo León
Nuevo León,Doctor Arroyo,Fuentes fijas,0.0,0.007,0.013,0.0,0.001,0.001,0.0,Nuevo León
Nuevo León,Doctor Arroyo,Fuentes de área,6.033,1151.717,36.888,670.526,2159.648,467.372,687.227,Nuevo León
Nuevo León,Doctor Arroyo,Fuentes móviles carreteros,0.507,851.7469999999998,171.995,83.486,2.987,2.696,1.672,Nuevo León
Nuevo León,Doctor Arroyo,Fuentes móviles que no circulan por carretera,1.455,13.39,41.597,3.205,2.543,2.467,0.013,Nuevo León
Nuevo León,Doctor Arroyo,Fuentes naturales,,,210.752,690.368,,,,Nuevo León
Nuevo León,Doctor Coss,Fuentes de área,0.047,9.956,0.761,17.811,20.691,4.642,25.642,Nuevo León
Nuevo León,Doctor Coss,Fuentes móviles carreteros,0.043,72.464,18.966,7.135,0.401,0.3639999999999999,0.122,Nuevo León
Nuevo León,Doctor Coss,Fuentes móviles que no circulan por carretera,0.8369999999999999,8.647,67.805,2.862,2.002,1.837,0.003,Nuevo León
Nuevo León,Doctor Coss,Fuentes naturales,,,245.3,715.938,,,,Nuevo León
Nuevo León,Doctor González,Fuentes fijas,0.052,6.313,7.545,0.4129999999999999,7.034,5.185,0.2409999999999999,Nuevo León
Nuevo León,Doctor González,Fuentes de área,0.058,11.712,1.298,60.371,36.511,7.782,887.9629999999999,Nuevo León
Nuevo León,Doctor González,Fuentes móviles carreteros,0.069,108.57,31.239,11.115,0.768,0.7,0.197,Nuevo León
Nuevo León,Doctor González,Fuentes móviles que no circulan por carretera,0.098,0.905,2.812,0.217,0.1719999999999999,0.167,0.001,Nuevo León
Nuevo León,Doctor González,Fuentes naturales,,,214.786,909.928,,,,Nuevo León
Nuevo León,Galeana,Fuentes de área,3.713,795.815,31.639,628.459,3404.787,629.268,374.02,Nuevo León
Nuevo León,Galeana,Fuentes móviles carreteros,0.539,871.489,220.871,85.298,4.659,4.234,1.525,Nuevo León
Nuevo León,Galeana,Fuentes móviles que no circulan por carretera,0.946,8.707,27.048,2.084,1.653,1.604,0.0089999999999999,Nuevo León
Nuevo León,Galeana,Fuentes naturales,,,220.395,739.4679999999998,,,,Nuevo León
Nuevo León,García,Fuentes fijas,887.077,1379.03,3722.358,1145.313,1961.711,1334.149,32.771,Nuevo León
Nuevo León,García,Fuentes de área,0.8609999999999999,204.744,41.092,2453.849,173.524,57.869,377.552,Nuevo León
Nuevo León,García,Fuentes móviles carreteros,2.153,3009.26,940.452,316.661,25.031,22.853,6.34,Nuevo León
Nuevo León,García,Fuentes móviles que no circulan por carretera,1.335,14.587,145.35,5.426,3.649,3.283,0.0,Nuevo León
Nuevo León,García,Fuentes naturales,,,69.508,249.58,,,,Nuevo León
Nuevo León,San Pedro Garza García,Fuentes fijas,44.458,101.656,217.243,332.746,122.991,91.991,4.02,Nuevo León
Nuevo León,San Pedro Garza García,Fuentes de área,0.2859999999999999,53.957,32.581,1482.863,14.57,12.243,153.091,Nuevo León
Nuevo León,San Pedro Garza García,Fuentes móviles carreteros,8.16,11911.712,3231.981,1225.01,74.19199999999998,67.568,24.111,Nuevo León
Nuevo León,San Pedro Garza García,Fuentes móviles que no circulan por carretera,0.769,12.106,114.98,6.672,2.921,2.633,0.0,Nuevo León
Nuevo León,San Pedro Garza García,Fuentes naturales,,,18.639,166.253,,,,Nuevo León
Nuevo León,General Bravo,Fuentes fijas,0.041,5.776,6.876,0.378,0.523,0.523,0.221,Nuevo León
Nuevo León,General Bravo,Fuentes de área,0.1779999999999999,27.991,2.303,313.11,117.185,22.089,89.215,Nuevo León
Nuevo León,General Bravo,Fuentes móviles carreteros,0.1779999999999999,270.97,92.894,26.86,2.666,2.437,0.4939999999999999,Nuevo León
Nuevo León,General Bravo,Fuentes móviles que no circulan por carretera,15.177,208.423,432.476,42.999,35.621,34.552,0.132,Nuevo León
Nuevo León,General Bravo,Fuentes naturales,,,192.816,642.97,,,,Nuevo León
Nuevo León,General Escobedo,Fuentes fijas,4.238,58.361,69.208,682.574,573.91,362.94,1.625,Nuevo León
Nuevo León,General Escobedo,Fuentes de área,1.078,256.868,71.427,5162.863,164.28,64.252,464.316,Nuevo León
Nuevo León,General Escobedo,Fuentes móviles carreteros,7.91,11122.245,3589.227,1163.377,97.726,89.265,23.182,Nuevo León
Nuevo León,General Escobedo,Fuentes móviles que no circulan por carretera,11.374,157.993,367.737,33.356,27.345,26.42,0.094,Nuevo León
Nuevo León,General Escobedo,Fuentes naturales,,,58.907,328.432,,,,Nuevo León
Nuevo León,General Terán,Fuentes de área,0.466,94.831,5.338,160.365,446.513,91.967,500.275,Nuevo León
Nuevo León,General Terán,Fuentes móviles carreteros,0.3459999999999999,559.918,142.74,55.698,3.032,2.757,0.991,Nuevo León
Nuevo León,General Terán,Fuentes móviles que no circulan por carretera,1.217,11.203,34.804,2.681,2.128,2.064,0.011,Nuevo León
Nuevo León,General Terán,Fuentes naturales,,,547.773,2480.072,,,,Nuevo León
Nuevo León,General Treviño,Fuentes de área,0.036,5.741,0.5749999999999998,14.031,216.164,24.145,27.252,Nuevo León
Nuevo León,General Treviño,Fuentes móviles carreteros,0.026,45.462,9.231000000000002,4.442,0.127,0.114,0.076,Nuevo León
Nuevo León,General Treviño,Fuentes móviles que no circulan por carretera,23.821,333.589,678.643,68.387,56.763,55.06,0.2059999999999999,Nuevo León
Nuevo León,General Treviño,Fuentes naturales,,,158.982,633.548,,,,Nuevo León
Nuevo León,General Zaragoza,Fuentes de área,1.135,249.047,7.436,164.772,152.023,50.004,131.996,Nuevo León
Nuevo León,General Zaragoza,Fuentes móviles carreteros,0.046,73.251,20.647,7.154,0.48,0.437,0.131,Nuevo León
Nuevo León,General Zaragoza,Fuentes móviles que no circulan por carretera,0.134,1.23,3.821,0.2939999999999999,0.234,0.227,0.001,Nuevo León
Nuevo León,General Zaragoza,Fuentes naturales,,,82.936,456.184,,,,Nuevo León
Nuevo León,General Zuazua,Fuentes fijas,0.183,0.161,0.643,0.006,38.238,22.927,0.026,Nuevo León
Nuevo León,General Zuazua,Fuentes de área,0.249,60.125,14.916,1487.151,18.851,12.192,208.125,Nuevo León
Nuevo León,General Zuazua,Fuentes móviles carreteros,0.56,725.477,271.291,78.01099999999998,8.090999999999998,7.402999999999999,1.61,Nuevo León
Nuevo León,General Zuazua,Fuentes móviles que no circulan por carretera,0.0869999999999999,0.8,2.485,0.191,0.152,0.1469999999999999,0.001,Nuevo León
Nuevo León,General Zuazua,Fuentes naturales,,,214.756,933.002,,,,Nuevo León
Nuevo León,Guadalupe,Fuentes fijas,1.978,572.105,316.567,2145.028,148.917,96.695,7.386,Nuevo León
Nuevo León,Guadalupe,Fuentes de área,1.447,336.193,133.313,7260.475999999999,84.61199999999998,70.833,674.356,Nuevo León
Nuevo León,Guadalupe,Fuentes móviles carreteros,21.586,31492.103,8682.315,3231.794,201.709,183.735,63.497,Nuevo León
Nuevo León,Guadalupe,Fuentes móviles que no circulan por carretera,0.4179999999999999,4.589,46.325,1.719,1.153,1.037,0.0,Nuevo León
Nuevo León,Guadalupe,Fuentes naturales,,,9.5,90.753,,,,Nuevo León
Nuevo León,Los Herreras,Fuentes de área,0.029,5.865,0.7229999999999999,24.761,15.124,3.307,34.894,Nuevo León
Nuevo León,Los Herreras,Fuentes móviles carreteros,0.032,59.185,10.937,5.622,0.107,0.095,0.094,Nuevo León
Nuevo León,Los Herreras,Fuentes móviles que no circulan por carretera,0.629,6.836,66.616,2.514,1.697,1.53,0.0,Nuevo León
Nuevo León,Los Herreras,Fuentes naturales,,,158.927,541.412,,,,Nuevo León
Nuevo León,Higueras,Fuentes de área,0.022,5.482,0.554,18.454,49.784,5.673,150.35,Nuevo León
Nuevo León,Higueras,Fuentes móviles carreteros,0.027,45.267,9.243,4.565,0.126,0.114,0.081,Nuevo León
Nuevo León,Higueras,Fuentes móviles que no circulan por carretera,6.181,86.652,176.096,17.758,14.741,14.299,0.054,Nuevo León
Nuevo León,Higueras,Fuentes naturales,,,57.667,121.224,,,,Nuevo León
Nuevo León,Hualahuises,Fuentes de área,0.18,44.116,2.509,117.271,32.951,11.083,247.599,Nuevo León
Nuevo León,Hualahuises,Fuentes móviles carreteros,0.112,184.146,41.407,18.551,0.7359999999999999,0.666,0.332,Nuevo León
Nuevo León,Hualahuises,Fuentes móviles que no circulan por carretera,0.216,1.984,6.164,0.4749999999999999,0.377,0.3659999999999999,0.002,Nuevo León
Nuevo León,Hualahuises,Fuentes naturales,,,1155.339,5063.793,,,,Nuevo León
Nuevo León,Iturbide,Fuentes de área,19.081,2150.871,63.365,218.813,232.903,189.527,134.869,Nuevo León
Nuevo León,Iturbide,Fuentes móviles carreteros,0.04,60.555,15.46,5.829,0.313,0.2849999999999999,0.113,Nuevo León
Nuevo León,Iturbide,Fuentes móviles que no circulan por carretera,0.019,0.1769999999999999,0.549,0.042,0.034,0.033,0.0,Nuevo León
Nuevo León,Iturbide,Fuentes naturales,,,65.23,340.792,,,,Nuevo León
Nuevo León,Juárez,Fuentes fijas,1.235,124.141,218.617,41.594,127.496,96.32,3.825,Nuevo León
Nuevo León,Juárez,Fuentes de área,1.055,278.001,50.646,2455.458,72.78199999999998,52.734,657.852,Nuevo León
Nuevo León,Juárez,Fuentes móviles carreteros,3.289,5029.122,1182.515,518.533,23.199,21.041,10.072,Nuevo León
Nuevo León,Juárez,Fuentes móviles que no circulan por carretera,0.247,2.692,26.516,0.996,0.671,0.6039999999999999,0.0,Nuevo León
Nuevo León,Juárez,Fuentes naturales,,,311.793,1326.957,,,,Nuevo León
Nuevo León,Lampazos de Naranjo,Fuentes fijas,333.916,2.754,65.655,0.08,405.791,245.064,0.1,Nuevo León
Nuevo León,Lampazos de Naranjo,Fuentes de área,0.052,12.758,1.352,71.42,80.661,14.011,94.011,Nuevo León
Nuevo León,Lampazos de Naranjo,Fuentes móviles carreteros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nuevo León
Nuevo León,Lampazos de Naranjo,Fuentes móviles que no circulan por carretera,2.079,22.638,222.397,8.36,5.636,5.077,0.001,Nuevo León
Nuevo León,Lampazos de Naranjo,Fuentes naturales,,,81.36799999999998,188.746,,,,Nuevo León
Nuevo León,Linares,Fuentes fijas,45.333,11.627,30.892,9.718,9.776,6.414,0.064,Nuevo León
Nuevo León,Linares,Fuentes de área,2.239,560.629,29.521,1322.922,843.254,199.409,649.84,Nuevo León
Nuevo León,Linares,Fuentes móviles carreteros,1.32,2120.864,491.994,214.94,9.858,8.941,4.098,Nuevo León
Nuevo León,Linares,Fuentes móviles que no circulan por carretera,2.29,22.563,134.836,6.653,4.854,4.542,0.013,Nuevo León
Nuevo León,Linares,Fuentes naturales,,,299.313,1389.851,,,,Nuevo León
Nuevo León,Marín,Fuentes fijas,0.0,0.0,0.001,0.0,0.0,0.0,0.0,Nuevo León
Nuevo León,Marín,Fuentes de área,0.022,4.151,1.152,87.36499999999998,5.413,1.472,1171.143,Nuevo León
Nuevo León,Marín,Fuentes móviles carreteros,0.126,193.506,53.095,20.223,1.292,1.177,0.373,Nuevo León
Nuevo León,Marín,Fuentes móviles que no circulan por carretera,0.092,0.8479999999999999,2.636,0.203,0.161,0.156,0.001,Nuevo León
Nuevo León,Marín,Fuentes naturales,,,197.979,738.615,,,,Nuevo León
Nuevo León,Melchor Ocampo,Fuentes de área,0.023,3.637,0.4189999999999999,10.663,8.157,2.096,29.044,Nuevo León
Nuevo León,Melchor Ocampo,Fuentes móviles carreteros,0.02,34.305,6.652,3.464,0.085,0.076,0.059,Nuevo León
Nuevo León,Melchor Ocampo,Fuentes móviles que no circulan por carretera,0.021,0.193,0.5989999999999999,0.046,0.037,0.035,0.0,Nuevo León
Nuevo León,Melchor Ocampo,Fuentes naturales,,,156.384,760.456,,,,Nuevo León
Nuevo León,Mier y Noriega,Fuentes de área,0.8559999999999999,219.167,6.616,118.785,97.821,41.001,174.648,Nuevo León
Nuevo León,Mier y Noriega,Fuentes móviles carreteros,0.05,90.811,18.484,8.561999999999998,0.264,0.2379999999999999,0.1459999999999999,Nuevo León
Nuevo León,Mier y Noriega,Fuentes móviles que no circulan por carretera,0.16,1.47,4.568,0.3519999999999999,0.279,0.271,0.001,Nuevo León
Nuevo León,Mier y Noriega,Fuentes naturales,,,177.712,559.7,,,,Nuevo León
Nuevo León,Mina,Fuentes fijas,0.0,0.0,0.0,0.0,3.054,2.841,0.0,Nuevo León
Nuevo León,Mina,Fuentes de área,0.918,115.456,4.088,77.33199999999998,198.138,40.093,127.931,Nuevo León
Nuevo León,Mina,Fuentes móviles carreteros,0.093,148.282,36.637,15.039,0.7379999999999999,0.67,0.271,Nuevo León
Nuevo León,Mina,Fuentes móviles que no circulan por carretera,0.6059999999999999,6.597,64.662,2.433,1.641,1.478,0.0,Nuevo León
Nuevo León,Mina,Fuentes naturales,,,69.878,198.975,,,,Nuevo León
Nuevo León,Montemorelos,Fuentes fijas,31.177,1.953,5.972,0.259,11.299,6.965,0.051,Nuevo León
Nuevo León,Montemorelos,Fuentes de área,1.08,261.721,18.042,916.219,993.244,155.944,1636.452,Nuevo León
Nuevo León,Montemorelos,Fuentes móviles carreteros,1.66,2600.32,626.272,265.22,13.308,12.086,5.149,Nuevo León
Nuevo León,Montemorelos,Fuentes móviles que no circulan por carretera,68.2,949.51,2064.205,197.467,162.92,157.743,0.5789999999999998,Nuevo León
Nuevo León,Montemorelos,Fuentes naturales,,,556.836,2444.46,,,,Nuevo León
Nuevo León,Monterrey,Fuentes fijas,1520.628,1714.422,5527.238,791.898,820.557,528.867,30.482,Nuevo León
Nuevo León,Monterrey,Fuentes de área,2.809,608.439,259.14,14015.471,140.417,119.928,928.49,Nuevo León
Nuevo León,Monterrey,Fuentes móviles carreteros,50.411,71560.042,22016.293,7329.429,570.154,520.436,146.966,Nuevo León
Nuevo León,Monterrey,Fuentes móviles que no circulan por carretera,126.833,2542.559,1105.47,1139.729,30.853,30.541,0.053,Nuevo León
Nuevo León,Monterrey,Fuentes naturales,,,20.4,206.489,,,,Nuevo León
Nuevo León,Parás,Fuentes de área,0.012,2.825,0.333,24.896,14.594,2.581,31.97,Nuevo León
Nuevo León,Parás,Fuentes móviles carreteros,0.018,30.902,7.136,3.089,0.126,0.114,0.052,Nuevo León
Nuevo León,Parás,Fuentes móviles que no circulan por carretera,3.01,47.084,444.701,25.829,11.342,10.227,0.0,Nuevo León
Nuevo León,Parás,Fuentes naturales,,,51.66,126.606,,,,Nuevo León
